source,ensembl,uniprot,taxon,prefname
C1417668,http://purl.uniprot.org/opentargets/ENSG00000134259,http://purl.uniprot.org/uniprot/P01138,http://purl.uniprot.org/taxonomy/9606,Beta-nerve growth factor
C1538301,http://purl.uniprot.org/opentargets/ENSG00000134489,http://purl.uniprot.org/uniprot/Q9H3N8,http://purl.uniprot.org/taxonomy/9606,Histamine H4 receptor
C1420005,http://purl.uniprot.org/opentargets/ENSG00000134851,http://purl.uniprot.org/uniprot/Q9HC07,http://purl.uniprot.org/taxonomy/9606,Putative divalent cation/proton antiporter TMEM165
C1418674,http://purl.uniprot.org/opentargets/ENSG00000138078,http://purl.uniprot.org/uniprot/Q4J6C6,http://purl.uniprot.org/taxonomy/9606,Prolyl endopeptidase-like
C1423062,http://purl.uniprot.org/opentargets/ENSG00000140521,http://purl.uniprot.org/uniprot/P54098,http://purl.uniprot.org/taxonomy/9606,DNA polymerase subunit gamma-1
C1538301,http://purl.uniprot.org/opentargets/ENSG00000140650,http://purl.uniprot.org/uniprot/O15305,http://purl.uniprot.org/taxonomy/9606,Phosphomannomutase 2
C1334353,http://purl.uniprot.org/opentargets/ENSG00000141510,http://purl.uniprot.org/uniprot/P04637,http://purl.uniprot.org/taxonomy/9606,Cellular tumor antigen p53
C1417668,http://purl.uniprot.org/opentargets/ENSG00000141837,http://purl.uniprot.org/uniprot/O00555,http://purl.uniprot.org/taxonomy/9606,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
C1421437,http://purl.uniprot.org/opentargets/ENSG00000142657,http://purl.uniprot.org/uniprot/P52209,http://purl.uniprot.org/taxonomy/9606,"6-phosphogluconate dehydrogenase, decarboxylating"
C1428142,http://purl.uniprot.org/opentargets/ENSG00000147044,http://purl.uniprot.org/uniprot/O14936,http://purl.uniprot.org/taxonomy/9606,Peripheral plasma membrane protein CASK
C1419208,http://purl.uniprot.org/opentargets/ENSG00000147162,http://purl.uniprot.org/uniprot/O15294,http://purl.uniprot.org/taxonomy/9606,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
C1418731,http://purl.uniprot.org/opentargets/ENSG00000147894,http://purl.uniprot.org/uniprot/Q96LT7,http://purl.uniprot.org/taxonomy/9606,Guanine nucleotide exchange factor C9orf72
C1417815,http://purl.uniprot.org/opentargets/ENSG00000148498,http://purl.uniprot.org/uniprot/Q8TEW0,http://purl.uniprot.org/taxonomy/9606,Partitioning defective 3 homolog
C1423062,http://purl.uniprot.org/opentargets/ENSG00000150093,http://purl.uniprot.org/uniprot/P05556,http://purl.uniprot.org/taxonomy/9606,Integrin beta-1
C1420214,http://purl.uniprot.org/opentargets/ENSG00000151092,http://purl.uniprot.org/uniprot/Q96IV0,http://purl.uniprot.org/taxonomy/9606,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
C1367177,http://purl.uniprot.org/opentargets/ENSG00000154059,http://purl.uniprot.org/uniprot/Q9P2X3,http://purl.uniprot.org/taxonomy/9606,Protein IMPACT
C1538301,http://purl.uniprot.org/opentargets/ENSG00000154277,http://purl.uniprot.org/uniprot/P09936,http://purl.uniprot.org/taxonomy/9606,Ubiquitin carboxyl-terminal hydrolase isozyme L1
C1825598,http://purl.uniprot.org/opentargets/ENSG00000160710,http://purl.uniprot.org/uniprot/P55265,http://purl.uniprot.org/taxonomy/9606,Double-stranded RNA-specific adenosine deaminase
C1538299,http://purl.uniprot.org/opentargets/ENSG00000161395,http://purl.uniprot.org/uniprot/Q96FM1,http://purl.uniprot.org/taxonomy/9606,Post-GPI attachment to proteins factor 3
C1417668,http://purl.uniprot.org/opentargets/ENSG00000163468,http://purl.uniprot.org/uniprot/P49368,http://purl.uniprot.org/taxonomy/9606,T-complex protein 1 subunit gamma
C1413336,http://purl.uniprot.org/opentargets/ENSG00000165280,http://purl.uniprot.org/uniprot/P55072,http://purl.uniprot.org/taxonomy/9606,Transitional endoplasmic reticulum ATPase
C1418707,http://purl.uniprot.org/opentargets/ENSG00000167281,http://purl.uniprot.org/uniprot/A6NFN3,http://purl.uniprot.org/taxonomy/9606,RNA binding protein fox-1 homolog 3
C1416705,http://purl.uniprot.org/opentargets/ENSG00000170835,http://purl.uniprot.org/uniprot/P19835,http://purl.uniprot.org/taxonomy/9606,Bile salt-activated lipase
C1416701,http://purl.uniprot.org/opentargets/ENSG00000171497,http://purl.uniprot.org/uniprot/Q08752,http://purl.uniprot.org/taxonomy/9606,Peptidyl-prolyl cis-trans isomerase D
C1414372,http://purl.uniprot.org/opentargets/ENSG00000172005,http://purl.uniprot.org/uniprot/P21145,http://purl.uniprot.org/taxonomy/9606,Myelin and lymphocyte protein
C1416518,http://purl.uniprot.org/opentargets/ENSG00000178295,http://purl.uniprot.org/uniprot/Q17RS7,http://purl.uniprot.org/taxonomy/9606,Flap endonuclease GEN homolog 1
C1412785,http://purl.uniprot.org/opentargets/ENSG00000178538,http://purl.uniprot.org/uniprot/P35219,http://purl.uniprot.org/taxonomy/9606,Carbonic anhydrase-related protein
C1424660,http://purl.uniprot.org/opentargets/ENSG00000185345,http://purl.uniprot.org/uniprot/O60260,http://purl.uniprot.org/taxonomy/9606,E3 ubiquitin-protein ligase parkin
C1412481,http://purl.uniprot.org/opentargets/ENSG00000186318,http://purl.uniprot.org/uniprot/P56817,http://purl.uniprot.org/taxonomy/9606,Beta-secretase 1
C1422767,http://purl.uniprot.org/opentargets/ENSG00000188021,http://purl.uniprot.org/uniprot/Q9UHD9,http://purl.uniprot.org/taxonomy/9606,Ubiquilin-2
C1824935,http://purl.uniprot.org/opentargets/ENSG00000188822,http://purl.uniprot.org/uniprot/P34972,http://purl.uniprot.org/taxonomy/9606,Cannabinoid receptor 2
C1416989,http://purl.uniprot.org/opentargets/ENSG00000198646,http://purl.uniprot.org/uniprot/Q14686,http://purl.uniprot.org/taxonomy/9606,Nuclear receptor coactivator 6
C1421309,http://purl.uniprot.org/opentargets/ENSG00000204640,http://purl.uniprot.org/uniprot/Q5H8A3,http://purl.uniprot.org/taxonomy/9606,Neuromedin-S
C1419815,http://purl.uniprot.org/opentargets/ENSG00000204842,http://purl.uniprot.org/uniprot/Q99700,http://purl.uniprot.org/taxonomy/9606,Ataxin-2
C0079419,http://purl.uniprot.org/opentargets/ENSG00000263001,http://purl.uniprot.org/uniprot/P78347,http://purl.uniprot.org/taxonomy/9606,General transcription factor II-I
C1412149,http://purl.uniprot.org/opentargets/ENSG00000277586,http://purl.uniprot.org/uniprot/P07196,http://purl.uniprot.org/taxonomy/9606,Neurofilament light polypeptide
C1823521,http://purl.uniprot.org/opentargets/ENSG00000014919,http://purl.uniprot.org/uniprot/Q7KZN9,http://purl.uniprot.org/taxonomy/9606,Heme A synthase COX15
C1826409,http://purl.uniprot.org/opentargets/ENSG00000020577,http://purl.uniprot.org/uniprot/Q9UPU9,http://purl.uniprot.org/taxonomy/9606,Protein Smaug homolog 1
C1418447,http://purl.uniprot.org/opentargets/ENSG00000039650,http://purl.uniprot.org/uniprot/Q96T60,http://purl.uniprot.org/taxonomy/9606,Bifunctional polynucleotide phosphatase/kinase
C1538298,http://purl.uniprot.org/opentargets/ENSG00000054392,http://purl.uniprot.org/uniprot/Q5VTY9,http://purl.uniprot.org/taxonomy/9606,Protein-cysteine N-palmitoyltransferase HHAT
C1538301,http://purl.uniprot.org/opentargets/ENSG00000060237,http://purl.uniprot.org/uniprot/Q9H4A3,http://purl.uniprot.org/taxonomy/9606,Serine/threonine-protein kinase WNK1
C1419815,http://purl.uniprot.org/opentargets/ENSG00000066427,http://purl.uniprot.org/uniprot/P54252,http://purl.uniprot.org/taxonomy/9606,Ataxin-3
C1416431,http://purl.uniprot.org/opentargets/ENSG00000069535,http://purl.uniprot.org/uniprot/P27338,http://purl.uniprot.org/taxonomy/9606,Amine oxidase [flavin-containing] B
C1421437,http://purl.uniprot.org/opentargets/ENSG00000074416,http://purl.uniprot.org/uniprot/Q99685,http://purl.uniprot.org/taxonomy/9606,Monoglyceride lipase
C1456413,http://purl.uniprot.org/opentargets/ENSG00000075043,http://purl.uniprot.org/uniprot/O43526,http://purl.uniprot.org/taxonomy/9606,Potassium voltage-gated channel subfamily KQT member 2
C1334353,http://purl.uniprot.org/opentargets/ENSG00000078328,http://purl.uniprot.org/uniprot/Q9NWB1,http://purl.uniprot.org/taxonomy/9606,RNA binding protein fox-1 homolog 1
C1419864,http://purl.uniprot.org/opentargets/ENSG00000079332,http://purl.uniprot.org/uniprot/Q9NR31,http://purl.uniprot.org/taxonomy/9606,Small COPII coat GTPase SAR1A
C1424584,http://purl.uniprot.org/opentargets/ENSG00000082641,http://purl.uniprot.org/uniprot/Q14494,http://purl.uniprot.org/taxonomy/9606,Endoplasmic reticulum membrane sensor NFE2L1
C1425023,http://purl.uniprot.org/opentargets/ENSG00000099940,http://purl.uniprot.org/uniprot/O95721,http://purl.uniprot.org/taxonomy/9606,Synaptosomal-associated protein 29
C1418674,http://purl.uniprot.org/opentargets/ENSG00000100300,http://purl.uniprot.org/uniprot/P30536,http://purl.uniprot.org/taxonomy/9606,Translocator protein
C1417002,http://purl.uniprot.org/opentargets/ENSG00000101327,http://purl.uniprot.org/uniprot/P01213,http://purl.uniprot.org/taxonomy/9606,Proenkephalin-B
C1442515,http://purl.uniprot.org/opentargets/ENSG00000101680,http://purl.uniprot.org/uniprot/P25391,http://purl.uniprot.org/taxonomy/9606,Laminin subunit alpha-1
C1414512,http://purl.uniprot.org/opentargets/ENSG00000101901,http://purl.uniprot.org/uniprot/Q9NP73,http://purl.uniprot.org/taxonomy/9606,UDP-N-acetylglucosamine transferase subunit ALG13
C1415504,http://purl.uniprot.org/opentargets/ENSG00000102174,http://purl.uniprot.org/uniprot/P78562,http://purl.uniprot.org/taxonomy/9606,Phosphate-regulating neutral endopeptidase PHEX
C1836075,http://purl.uniprot.org/opentargets/ENSG00000107147,http://purl.uniprot.org/uniprot/Q5JUK3,http://purl.uniprot.org/taxonomy/9606,Potassium channel subfamily T member 1
C1420017,http://purl.uniprot.org/opentargets/ENSG00000110717,http://purl.uniprot.org/uniprot/O00217,http://purl.uniprot.org/taxonomy/9606,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
C1421563,http://purl.uniprot.org/opentargets/ENSG00000111676,http://purl.uniprot.org/uniprot/P54259,http://purl.uniprot.org/taxonomy/9606,Atrophin-1
C1414998,http://purl.uniprot.org/opentargets/ENSG00000112799,http://purl.uniprot.org/uniprot/O95711,http://purl.uniprot.org/taxonomy/9606,Lymphocyte antigen 86
C1825598,http://purl.uniprot.org/opentargets/ENSG00000113532,http://purl.uniprot.org/uniprot/Q92187,http://purl.uniprot.org/taxonomy/9606,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase"
C1422771,http://purl.uniprot.org/opentargets/ENSG00000117480,http://purl.uniprot.org/uniprot/O00519,http://purl.uniprot.org/taxonomy/9606,Fatty-acid amide hydrolase 1
C1418270,http://purl.uniprot.org/opentargets/ENSG00000122783,http://purl.uniprot.org/uniprot/Q9BWK5,http://purl.uniprot.org/taxonomy/9606,Cell cycle regulator of non-homologous end joining
C1417651,http://purl.uniprot.org/opentargets/ENSG00000124587,http://purl.uniprot.org/uniprot/Q13608,http://purl.uniprot.org/taxonomy/9606,Peroxisomal ATPase PEX6
C1415500,http://purl.uniprot.org/opentargets/ENSG00000124788,http://purl.uniprot.org/uniprot/P54253,http://purl.uniprot.org/taxonomy/9606,Ataxin-1
C1419815,http://purl.uniprot.org/opentargets/ENSG00000127884,http://purl.uniprot.org/uniprot/P30084,http://purl.uniprot.org/taxonomy/9606,"Enoyl-CoA hydratase, mitochondrial"
C1413824,http://purl.uniprot.org/opentargets/ENSG00000128039,http://purl.uniprot.org/uniprot/Q9H8P0,http://purl.uniprot.org/taxonomy/9606,Polyprenal reductase
C1854634,http://purl.uniprot.org/opentargets/ENSG00000134308,http://purl.uniprot.org/uniprot/P27348,http://purl.uniprot.org/taxonomy/9606,14-3-3 protein theta
C1414083,http://purl.uniprot.org/opentargets/ENSG00000137074,http://purl.uniprot.org/uniprot/Q7Z2E3,http://purl.uniprot.org/taxonomy/9606,Aprataxin
C1826968,http://purl.uniprot.org/opentargets/ENSG00000137252,http://purl.uniprot.org/uniprot/O43614,http://purl.uniprot.org/taxonomy/9606,Orexin receptor type 2
C1417055,http://purl.uniprot.org/opentargets/ENSG00000137513,http://purl.uniprot.org/uniprot/Q96I59,http://purl.uniprot.org/taxonomy/9606,Asparaginyl-tRNA synthetase
C1415504,http://purl.uniprot.org/opentargets/ENSG00000140650,http://purl.uniprot.org/uniprot/O15305,http://purl.uniprot.org/taxonomy/9606,Phosphomannomutase 2
C3147283,http://purl.uniprot.org/opentargets/ENSG00000141837,http://purl.uniprot.org/uniprot/O00555,http://purl.uniprot.org/taxonomy/9606,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
C1418674,http://purl.uniprot.org/opentargets/ENSG00000142920,http://purl.uniprot.org/uniprot/Q96A70,http://purl.uniprot.org/taxonomy/9606,Antizyme inhibitor 2
C1417055,http://purl.uniprot.org/opentargets/ENSG00000148798,http://purl.uniprot.org/uniprot/Q16352,http://purl.uniprot.org/taxonomy/9606,Alpha-internexin
C1539956,http://purl.uniprot.org/opentargets/ENSG00000149187,http://purl.uniprot.org/uniprot/Q92879,http://purl.uniprot.org/taxonomy/9606,CUGBP Elav-like family member 1
C1538298,http://purl.uniprot.org/opentargets/ENSG00000150787,http://purl.uniprot.org/uniprot/Q03393,http://purl.uniprot.org/taxonomy/9606,6-pyruvoyl tetrahydrobiopterin synthase
C1538301,http://purl.uniprot.org/opentargets/ENSG00000151092,http://purl.uniprot.org/uniprot/Q96IV0,http://purl.uniprot.org/taxonomy/9606,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
C1456413,http://purl.uniprot.org/opentargets/ENSG00000152601,http://purl.uniprot.org/uniprot/Q9NR56,http://purl.uniprot.org/taxonomy/9606,Muscleblind-like protein 1
C1419815,http://purl.uniprot.org/opentargets/ENSG00000152818,http://purl.uniprot.org/uniprot/P46939,http://purl.uniprot.org/taxonomy/9606,Utrophin
C1334353,http://purl.uniprot.org/opentargets/ENSG00000154059,http://purl.uniprot.org/uniprot/Q9P2X3,http://purl.uniprot.org/taxonomy/9606,Protein IMPACT
C1822755,http://purl.uniprot.org/opentargets/ENSG00000158828,http://purl.uniprot.org/uniprot/Q9BXM7,http://purl.uniprot.org/taxonomy/9606,"Serine/threonine-protein kinase PINK1, mitochondrial"
C1420488,http://purl.uniprot.org/opentargets/ENSG00000161610,http://purl.uniprot.org/uniprot/O43612,http://purl.uniprot.org/taxonomy/9606,Hypocretin neuropeptide precursor
C1414998,http://purl.uniprot.org/opentargets/ENSG00000164209,http://purl.uniprot.org/uniprot/Q96AG3,http://purl.uniprot.org/taxonomy/9606,Mitochondrial outer membrane protein SLC25A46
C1539876,http://purl.uniprot.org/opentargets/ENSG00000165280,http://purl.uniprot.org/uniprot/P55072,http://purl.uniprot.org/taxonomy/9606,Transitional endoplasmic reticulum ATPase
C1418478,http://purl.uniprot.org/opentargets/ENSG00000166863,http://purl.uniprot.org/uniprot/Q9UHF0,http://purl.uniprot.org/taxonomy/9606,Tachykinin-3
C1419129,http://purl.uniprot.org/opentargets/ENSG00000166948,http://purl.uniprot.org/uniprot/O95932,http://purl.uniprot.org/taxonomy/9606,Protein-glutamine gamma-glutamyltransferase 6
C1420188,http://purl.uniprot.org/opentargets/ENSG00000167281,http://purl.uniprot.org/uniprot/A6NFN3,http://purl.uniprot.org/taxonomy/9606,RNA binding protein fox-1 homolog 3
C2240046,http://purl.uniprot.org/opentargets/ENSG00000168830,http://purl.uniprot.org/uniprot/P28566,http://purl.uniprot.org/taxonomy/9606,5-hydroxytryptamine receptor 1E
C1540211,http://purl.uniprot.org/opentargets/ENSG00000169194,http://purl.uniprot.org/uniprot/P35225,http://purl.uniprot.org/taxonomy/9606,Interleukin-13
C1537983,http://purl.uniprot.org/opentargets/ENSG00000169313,http://purl.uniprot.org/uniprot/Q9H244,http://purl.uniprot.org/taxonomy/9606,P2Y purinoceptor 12
C1418707,http://purl.uniprot.org/opentargets/ENSG00000169689,http://purl.uniprot.org/uniprot/A8MT69,http://purl.uniprot.org/taxonomy/9606,Centromere protein X
C1423885,http://purl.uniprot.org/opentargets/ENSG00000177628,http://purl.uniprot.org/uniprot/P04062,http://purl.uniprot.org/taxonomy/9606,Lysosomal acid glucosylceramidase
C1413632,http://purl.uniprot.org/opentargets/ENSG00000179097,http://purl.uniprot.org/uniprot/P30939,http://purl.uniprot.org/taxonomy/9606,5-hydroxytryptamine receptor 1F
C1537995,http://purl.uniprot.org/opentargets/ENSG00000183638,http://purl.uniprot.org/uniprot/Q8IWN7,http://purl.uniprot.org/taxonomy/9606,Retinitis pigmentosa 1-like 1 protein
C1334353,http://purl.uniprot.org/opentargets/ENSG00000183873,http://purl.uniprot.org/uniprot/Q14524,http://purl.uniprot.org/taxonomy/9606,Sodium channel protein type 5 subunit alpha
C1417700,http://purl.uniprot.org/opentargets/ENSG00000183918,http://purl.uniprot.org/uniprot/O60880,http://purl.uniprot.org/taxonomy/9606,SH2 domain-containing protein 1A
C1539668,http://purl.uniprot.org/opentargets/ENSG00000185345,http://purl.uniprot.org/uniprot/O60260,http://purl.uniprot.org/taxonomy/9606,E3 ubiquitin-protein ligase parkin
C1425023,http://purl.uniprot.org/opentargets/ENSG00000185721,http://purl.uniprot.org/uniprot/Q9Y295,http://purl.uniprot.org/taxonomy/9606,Developmentally-regulated GTP-binding protein 1
C1418674,http://purl.uniprot.org/opentargets/ENSG00000188037,http://purl.uniprot.org/uniprot/P35523,http://purl.uniprot.org/taxonomy/9606,Chloride channel protein 1
C1416832,http://purl.uniprot.org/opentargets/ENSG00000197386,http://purl.uniprot.org/uniprot/P42858,http://purl.uniprot.org/taxonomy/9606,Huntingtin
C1415502,http://purl.uniprot.org/opentargets/ENSG00000198695,http://purl.uniprot.org/uniprot/P03923,http://purl.uniprot.org/taxonomy/9606,NADH-ubiquinone oxidoreductase chain 6
C1414874,http://purl.uniprot.org/opentargets/ENSG00000198899,http://purl.uniprot.org/uniprot/P00846,http://purl.uniprot.org/taxonomy/9606,ATP synthase F(0) complex subunit a
C1825598,http://purl.uniprot.org/opentargets/ENSG00000198947,http://purl.uniprot.org/uniprot/P11532,http://purl.uniprot.org/taxonomy/9606,Dystrophin
C1425330,http://purl.uniprot.org/opentargets/ENSG00000204842,http://purl.uniprot.org/uniprot/Q99700,http://purl.uniprot.org/taxonomy/9606,Ataxin-2
C1418674,http://purl.uniprot.org/opentargets/ENSG00000214285,http://purl.uniprot.org/uniprot/P0C0P6,http://purl.uniprot.org/taxonomy/9606,Neuropeptide S
C1416775,http://purl.uniprot.org/opentargets/ENSG00000266964,http://purl.uniprot.org/uniprot/O00168,http://purl.uniprot.org/taxonomy/9606,Phospholemman
C1425330,http://purl.uniprot.org/opentargets/ENSG00000000938,http://purl.uniprot.org/uniprot/P09769,http://purl.uniprot.org/taxonomy/9606,Tyrosine-protein kinase Fgr
C1425023,http://purl.uniprot.org/opentargets/ENSG00000007047,http://purl.uniprot.org/uniprot/Q96L34,http://purl.uniprot.org/taxonomy/9606,MAP/microtubule affinity-regulating kinase 4
C1412382,http://purl.uniprot.org/opentargets/ENSG00000008311,http://purl.uniprot.org/uniprot/Q9UDR5,http://purl.uniprot.org/taxonomy/9606,"Alpha-aminoadipic semialdehyde synthase, mitochondrial"
C1825868,http://purl.uniprot.org/opentargets/ENSG00000020577,http://purl.uniprot.org/uniprot/Q9UPU9,http://purl.uniprot.org/taxonomy/9606,Protein Smaug homolog 1
C1439274,http://purl.uniprot.org/opentargets/ENSG00000048740,http://purl.uniprot.org/uniprot/O95319,http://purl.uniprot.org/taxonomy/9606,CUGBP Elav-like family member 2
C1425330,http://purl.uniprot.org/opentargets/ENSG00000064042,http://purl.uniprot.org/uniprot/Q9UPQ0,http://purl.uniprot.org/taxonomy/9606,LIM and calponin homology domains-containing protein 1
C1427027,http://purl.uniprot.org/opentargets/ENSG00000065427,http://purl.uniprot.org/uniprot/Q15046,http://purl.uniprot.org/taxonomy/9606,Lysine--tRNA ligase
C1420588,http://purl.uniprot.org/opentargets/ENSG00000075142,http://purl.uniprot.org/uniprot/P30626,http://purl.uniprot.org/taxonomy/9606,Sorcin
C1417055,http://purl.uniprot.org/opentargets/ENSG00000076770,http://purl.uniprot.org/uniprot/Q9NUK0,http://purl.uniprot.org/taxonomy/9606,Muscleblind-like protein 3
C1824794,http://purl.uniprot.org/opentargets/ENSG00000078328,http://purl.uniprot.org/uniprot/Q9NWB1,http://purl.uniprot.org/taxonomy/9606,RNA binding protein fox-1 homolog 1
